Sn,Task Name,Activity Type,Planned Start,Planned Finish
32,Milestones: Full Load operation,MIL,2026-06-25,2026-06-25
33,Milestones: COMPLETION of Trial Operation & PG test,MIL,2026-06-25,2026-07-24
34,Milestones: COMPLETION of Major supplies,MIL,2026-01-11,2026-01-11
35,Milestones: COMPLETION of all Supplies,MIL,2026-02-09,2026-02-09
36,Milestones: COMPLETION of site delivery of all mandatory spares,MIL,2025-12-09,2025-12-09
37,Milestones: COMPLETION of Facilities,MIL,2026-09-25,2026-09-25
38,Readiness of Major Civil Foundation,CIV,2023-06-27,2025-07-27
39,Readiness of Major Civil Foundation: Boiler Foundation,CIV,2023-09-25,2023-09-25
40,Readiness of Major Civil Foundation: ESP Foundation,CIV,2023-12-22,2023-12-22
41,Readiness of Major Civil Foundation: Commencement of Excavation for TG Building,CIV,2023-06-27,2023-06-27
42,Readiness of Major Civil Foundation: Casting of TG Raft,CIV,2023-08-31,2023-08-31
43,Readiness of Major Civil Foundation: Casting of TG Deck,CIV,2024-04-07,2024-04-07
44,Readiness of Major Civil Foundation: Readiness of TG Deck with EOT crane and approach,CIV,2024-08-06,2024-08-06
45,Readiness of Major Civil Foundation: Condenser Foundation,CIV,2024-02-23,2024-02-23
46,Readiness of Major Civil Foundation: ID Fan Foundation,CIV,2024-06-27,2024-06-27
47,Readiness of Major Civil Foundation: FD Fan Foundation,CIV,2025-07-09,2025-07-09
48,Readiness of Major Civil Foundation: PA Fan Foundation,CIV,2025-07-27,2025-07-27
49,Readiness of Major Civil Foundation: SA Fan Foundation,CIV,2025-07-09,2025-07-09
50,Readiness of Major Civil Foundation: Mill Foundation,CIV,2024-09-15,2024-09-15
51,Readiness of Major Civil Foundation: Bunker Bay Foundation,CIV,2023-09-27,2025-01-04
52,Readiness of Major Civil Foundation: MDBFP Foundation,CIV,2025-01-07,2025-01-07
53,Readiness of Major Civil Foundation: TDBFP Foundation,CIV,2025-02-07,2025-02-07
54,Readiness of Major Civil Foundation: CEP Foundation,CIV,2024-08-05,2024-08-05
55,Readiness of Major Civil Foundation: BOF-ESP Duct Foundation,CIV,2025-04-20,2025-04-20
56,Readiness of Major Civil Foundation: ESP-ID Duct Foundation,CIV,2024-09-26,2024-09-26
57,Readiness of Major Civil Foundation: ID-Chimney Duct Foundation,CIV,2024-11-27,2024-11-27
58,Readiness of Major Civil Foundation: GT Foundation,CIV,2024-09-09,2024-09-09
59,Readiness of Major Civil Foundation: ST Foundation,CIV,2025-02-20,2025-02-20
60,Readiness of Major Civil Foundation: UAT Foundation,CIV,2025-01-01,2025-01-01
61,Readiness of Major Civil Foundation: SAT Foundation,CIV,2025-01-03,2025-01-03
62,Readiness of Major Civil Foundation: SPBD Foundation,CIV,2025-04-22,2025-04-22
63,Readiness of Major Civil Foundation: IPBD Foundation,CIV,2025-02-22,2025-02-22
64,Readiness of Major Equipment and system,OTH,2025-02-20,2026-06-20
65,Readiness of Major Equipment and system: DMCW System,OTH,2025-08-19,2025-08-19
66,Readiness of Major Equipment and system: First ID Fan,OTH,2025-12-31,2025-12-31
67,Readiness of Major Equipment and system: Second ID Fan,OTH,2026-03-31,2026-03-31
68,Readiness of Major Equipment and system: First FD Fan,OTH,2025-12-09,2025-12-09
69,Readiness of Major Equipment and system: Second FD Fan,OTH,2026-02-03,2026-02-03
70,Readiness of Major Equipment and system: First APH,OTH,2025-11-29,2025-11-29
71,Readiness of Major Equipment and system: Second APH,OTH,2026-02-01,2026-02-01
72,Readiness of Major Equipment and system: Second PA Fan,OTH,2026-03-06,2026-03-06
73,Readiness of Major Equipment and system: First PA Fan,OTH,2026-02-19,2026-02-19
74,Readiness of Major Equipment and system: SA Fan,OTH,2026-05-01,2026-05-01
75,Readiness of Major Equipment and system: MDBFP,OTH,2025-09-17,2025-09-17
76,Readiness of Major Equipment and system: CEP,OTH,2025-11-18,2025-11-18
77,Readiness of Major Equipment and system: TDBFP,OTH,2026-04-18,2026-04-18
78,Readiness of Major Equipment and system: Service transformer  Aux transformer Charging,OTH,2025-05-24,2025-05-24
79,Readiness of Major Equipment and system: DCS Panel Charging,OTH,2025-10-27,2025-10-27
80,Readiness of Major Equipment and system: C&I for BLU (Gun Trial of AB Elevation),OTH,2025-12-19,2025-12-19
81,Readiness of Major Equipment and system: C&I for Chemical Cleaning (Gun Trial CD elevation),OTH,2025-11-25,2025-11-25
82,Readiness of Major Equipment and system: C&I for SB,OTH,2025-12-25,2025-12-25
83,Readiness of Major Equipment and system: C&I for Sync,OTH,2026-04-27,2026-04-27
84,Readiness of Major Equipment and system: C&I for Full Loading,OTH,2025-06-03,2025-06-03
85,Readiness of Major Equipment and system: Mills,OTH,2025-11-15,2025-11-15
86,Readiness of Major Equipment and system: Feeders ,OTH,2025-11-20,2025-11-20
87,Readiness of Major Equipment and system: Scanner FAN,OTH,2025-11-02,2025-11-02
88,Readiness of Major Equipment and system: Soot Blowing System,OTH,2025-08-18,2025-08-18
89,Readiness of Major Equipment and system: ESP Charging,OTH,2025-12-20,2025-12-20
90,Readiness of Major Equipment and system: COMPLETION of Main Boiler Structure work,OTH,2025-02-20,2025-02-20
91,Readiness of Major Equipment and system: DM Plant for HT,OTH,2025-02-20,2025-02-20
92,Readiness of Major Equipment and system: Complete DM Plant,OTH,2025-07-20,2025-07-20
93,Readiness of Major Equipment and system: Compressed air system,OTH,2025-10-24,2025-10-24
94,Readiness of Major Equipment and system: Air conditioning system,OTH,2026-01-19,2026-01-19
95,Readiness of Major Equipment and system: Cooling Tower,OTH,2025-11-25,2025-11-25
96,Readiness of Major Equipment and system: Chimney for BLU,OTH,2025-09-01,2025-09-01
97,Readiness of Major Equipment and system: Complete Chimney,OTH,2025-11-30,2025-11-30
98,Readiness of Major Equipment and system: Ventilation system,OTH,2026-03-26,2026-03-26
99,Readiness of Major Equipment and system: FPS for BLU,OTH,2026-01-05,2026-01-05
100,Readiness of Major Equipment and system: Completed FPS,OTH,2026-04-15,2026-04-15
101,Readiness of Major Equipment and system: DG set,OTH,2025-08-27,2025-08-27
102,Readiness of Major Equipment and system: CPU,OTH,2026-02-24,2026-02-24
103,Readiness of Major Equipment and system: ACW,OTH,2025-11-04,2025-11-04
104,Readiness of Major Equipment and system: CW,OTH,2025-07-13,2025-07-13
105,Readiness of Major Equipment and system: Fuel Oil system,OTH,2025-11-17,2025-11-17
106,Readiness of Major Equipment and system: Bunker,OTH,2025-06-23,2025-06-23
107,Readiness of Major Equipment and system: WTP,OTH,2025-02-20,2025-02-20
108,Readiness of Major Equipment and system: STP,OTH,2026-06-14,2026-06-14
109,Readiness of Major Equipment and system: MRS,OTH,2026-06-20,2026-06-20
110,Readiness of Major Equipment and system: CHP,OTH,2026-01-26,2026-01-26
111,Readiness of Major Equipment and system: AHP,OTH,2025-02-20,2025-02-20
112,Readiness of Major Equipment and system: FGD,OTH,2026-05-18,2026-05-18
113,CUSTOMER Inputs,CUST,2022-09-27,2025-11-25
114,CUSTOMER INPUTS: LAND (FREE FROM ALL ENCUMBRANCES),CUST,2022-09-27,2022-11-25
115,APPROACH ROAD UPTO THE MAIN PLANT,CUST,2022-09-27,2022-09-27
116,CUSTOMER INPUTS: CONSTRUCTION WATER ,CUST,2022-10-11,2022-10-11
117,CUSTOMER INPUTS: CONSTRUCTION POWER SOURCE,CUST,2022-10-11,2022-10-11
118,CUSTOMER INPUTS:  AVAILABILITY OF START-UP POWER ,CUST,2025-01-25,2025-01-25
119,CUSTOMER INPUTS: RAW WATER AVAILABILITY UPTO THE TERMINAL POINT OF PLANT ,CUST,2024-12-26,2024-12-26
120,CUSTOMER INPUTS: FUEL OIL AVAILABILITY ,CUST,2025-08-27,2025-08-27
121,CUSTOMER INPUTS: LIMESTONE AVAILABILITY ,CUST,2025-09-27,2025-09-27
122,CUSTOMER INPUTS: COAL AVAILABILITY ,CUST,2025-11-25,2025-11-25
123,CUSTOMER INPUTS: AVAILABILITY OF POWER EVACUATION ,CUST,2025-08-17,2025-08-17
124,Award of Sub-Contracts by PS-Region,PRC,2022-09-27,2024-11-15
125,Construction power package including construction lighting in plant  construction water  steel yard,PRC,2022-09-27,2022-11-10
126,NIT,ENQ,2022-09-27,2022-09-27
127,LOI,ORD,2022-09-27,2022-10-26
128,MOBILIZATION BY AGENCY AT SITE,ORD,2022-10-27,2022-11-10
129,Enabling work,PRC,2022-11-25,2023-02-08
130,NIT,ENQ,2022-11-25,2022-11-25
131,LOI,ORD,2022-11-26,2023-01-24
132,MOBILIZATION BY AGENCY AT SITE,ORD,2023-01-25,2023-02-08
133,Civil,PRC,2022-10-06,2023-09-06
134,Dismantling work of above ground facility,PRC,2022-10-06,2022-12-20
135,NIT,ENQ,2022-10-06,2022-10-06
136,LOI,ORD,2022-10-07,2022-12-05
137,MOBILIZATION BY AGENCY AT SITE,ORD,2022-12-06,2022-12-20
138,Civil- SG-1+ ESP-1+FGD-1 (Absorber+Fan+ Duct up to Chimney etc)+ BAH-1+ SCR-1 + Levelling & Grading+ Below ground dismantling work and excluding Paving work of this package,PRC,2022-10-26,2023-01-14
139,NIT,ENQ,2022-10-26,2022-10-26
140,LOI,ORD,2022-10-27,2022-12-25
141,MOBILIZATION BY AGENCY AT SITE,ORD,2022-12-26,2023-01-14
142,Civil -PH-1+X-mer Yard-1+ESP/FGD Control Room+ DG building  + Levelling & Grading+ Below ground dismantling work,PRC,2022-10-26,2023-02-28
143,NIT,ENQ,2022-10-26,2022-10-26
144,LOI,ORD,2022-10-27,2022-12-25
145,MOBILIZATION BY AGENCY AT SITE,ORD,2023-02-09,2023-02-28
146,Switch Yard+ 33 Kv SWGR + Levelling & Grading+ Below ground dismantling work,OTH,2022-11-25,2023-03-30
147,NIT,ENQ,2022-11-25,2022-11-25
148,LOI,ORD,2022-11-26,2023-01-24
149,MOBILIZATION BY AGENCY AT SITE,ORD,2023-03-11,2023-03-30
150,Civil for Coal Handling Plant (CHP),OTH,2022-11-25,2023-03-30
151,NIT,ENQ,2022-11-25,2022-11-25
152,LOI,ORD,2022-11-26,2023-01-24
153,MOBILIZATION BY AGENCY AT SITE,ORD,2023-03-11,2023-03-30
154,Civil for Ash Handling Plant (AHP),PRC,2023-04-24,2023-08-27
155,NIT,ENQ,2023-04-24,2023-04-24
156,LOI,ORD,2023-04-25,2023-06-23
157,MOBILIZATION BY AGENCY AT SITE,ORD,2023-08-08,2023-08-27
158,NDCT cooling Tower,PRC,2022-11-25,2023-03-30
159,NIT,ENQ,2022-11-25,2022-11-25
160,LOI,ORD,2022-11-26,2023-01-24
161,MOBILIZATION BY AGENCY AT SITE,ORD,2023-03-11,2023-03-30
162,Balance BOPs civil,PRC,2023-04-24,2023-07-13
163,NIT,ENQ,2023-04-24,2023-04-24
164,LOI,ORD,2023-04-25,2023-06-23
165,MOBILIZATION BY AGENCY AT SITE,ORD,2023-06-24,2023-07-13
166,Civil agency for Chimney,PRC,2022-11-25,2023-04-09
167,NIT,ENQ,2022-11-25,2022-11-25
168,LOI,ORD,2022-11-26,2023-02-03
169,MOBILIZATION BY AGENCY AT SITE,ORD,2023-03-21,2023-04-09
170,Civil- FGD buildings (LHP+GHP etc) + Levelling & Grading+ Below ground dismantling work,PRC,2023-04-24,2023-09-06
171,NIT,ENQ,2023-04-24,2023-04-24
172,LOI,ORD,2023-04-25,2023-07-03
173,MOBILIZATION BY AGENCY AT SITE,ORD,2023-08-18,2023-09-06
174,Mechanical,PRC,2023-03-25,2024-07-27
175,Mechanical ? Boiler  Aux Boiler & Bunker,PRC,2023-06-03,2023-09-21
176,NIT,ENQ,2023-06-03,2023-06-03
177,LOI,ORD,2023-06-04,2023-09-01
178,MOBILIZATION BY AGENCY AT SITE,ORD,2023-09-02,2023-09-21
179,Mechanical ? ESP & FGD,PRC,2023-07-08,2023-10-26
180,NIT,ENQ,2023-07-08,2023-07-08
181,LOI,ORD,2023-07-09,2023-10-06
182,MOBILIZATION BY AGENCY AT SITE,ORD,2023-10-07,2023-10-26
183, Power Cycle Piping ,PRC,2024-02-08,2024-07-27
184,NIT,ENQ,2024-02-08,2024-02-08
185,LOI,ORD,2024-02-09,2024-07-07
186,MOBILIZATION BY AGENCY AT SITE,ORD,2024-07-08,2024-07-27
187,Steam Turbine & Generator,PRC,2024-02-09,2024-05-29
188,NIT,ENQ,2024-02-09,2024-02-09
189,LOI,ORD,2024-02-10,2024-05-09
190,MOBILIZATION BY AGENCY AT SITE,ORD,2024-05-10,2024-05-29
191,Structure:- Power House,PRC,2023-03-25,2023-06-13
192,NIT,ENQ,2023-03-25,2023-03-25
193,LOI,ORD,2023-03-26,2023-05-24
194,MOBILIZATION BY AGENCY AT SITE,ORD,2023-05-25,2023-06-13
195,Structure:- CHP,PRC,2023-08-22,2023-11-10
196,NIT,ENQ,2023-08-22,2023-08-22
197,LOI,ORD,2023-08-23,2023-10-21
198,MOBILIZATION BY AGENCY AT SITE,ORD,2023-10-22,2023-11-10
199,Structure:- FGD+AHP+Pipe Rack,PRC,2023-11-30,2024-02-18
200,NIT,ENQ,2023-11-30,2023-11-30
201,LOI,ORD,2023-12-01,2024-01-29
202,MOBILIZATION BY AGENCY AT SITE,ORD,2024-01-30,2024-02-18
203,Electrical & Cabling Pkg ,PRC,2024-06-28,2024-10-16
204,NIT,ENQ,2024-06-28,2024-06-28
205,LOI,ORD,2024-06-29,2024-09-26
206,MOBILIZATION BY AGENCY AT SITE,ORD,2024-09-27,2024-10-16
207,C&I Pkg ,PRC,2024-07-28,2024-11-15
208,NIT,ENQ,2024-07-28,2024-07-28
209,LOI,ORD,2024-07-29,2024-10-26
210,MOBILIZATION BY AGENCY AT SITE,ORD,2024-10-27,2024-11-15
211,Topographical Survey and Soil Investigation,ENG,2022-09-27,2022-10-26
212,Topographical Survey and Soil Investigation: Work COMPLETION and Report Submission,ENG,2022-09-27,2022-10-26
213,Development of Site Infrastructure,OTH,2022-09-27,2024-05-18
214,Mobilization of site levelling agency at site and commencement of site levelling works including dismantling activities ,,2023-01-25,2023-03-25
215,Completion of Site Levelling,CIV,2023-04-25,2023-07-23
216,Readiness of Priority Roads  including Drains ,CIV,2023-05-25,2024-01-19
217,Readiness of External Drain for evacuation of plant area drainage ,CIV,2023-03-26,2023-11-20
218,Readiness of area lighting in Plant ,OTH,2023-03-26,2023-09-21
219,Readiness of Temporary office of BHEL,CIV,2022-09-27,2022-11-25
220,Readiness of BHEL office ,CIV,2022-09-27,2023-05-24
221,Readiness of Safety Control Room & Site office of NTPC,CIV,2023-06-23,2023-06-23
222,Readiness of Storage and Preassembly yard with Hard crusting  Roads & Drains etc. as per priority requirement of project ,CIV,2023-03-26,2023-12-20
223,Establishment of workers habitat in phased manner ,CIV,2022-12-26,2024-05-18
224,Dismantling,CIV,2022-12-21,2024-01-30
225,Dismantling of existing raw material reservoirs,CIV,2023-07-15,2024-01-30
226,Dismantling of super structure ,CIV,2022-12-21,2023-07-08
227,Boiler & Auxiliaries,OTH,2022-09-27,2026-05-28
228,Boiler Structure,OTH,2022-09-27,2026-04-30
229,Basic engineering,ENG,2022-10-27,2023-02-23
230,Supply (BHEL TRY),SUP,2022-09-27,2025-11-10
231,Main Boiler supporting structure (PG-35),OTH,2022-09-27,2024-03-11
232,FOUNDATION MATERIALS- (PGMA-35011),SUP,2022-10-27,2023-05-27
233,Engineering,ENG,2022-10-27,2023-01-19
234,Manufacturing,MFG,2023-01-20,2023-04-27
235,Dispatch,DIS,2023-03-29,2023-05-27
236,MAIN COLUMNS LEFT 1ST PASS (PGMA-35111),SUP,2022-10-27,2023-09-10
237,Engineering,ENG,2022-10-27,2023-05-08
238,Manufacturing,MFG,2023-02-18,2023-06-27
239,Dispatch,DIS,2023-06-28,2023-09-10
240,MAIN COLUMNS LEFT 2ND PASS (PGMA-35112),SUP,2022-10-27,2023-09-10
241,Engineering,ENG,2022-10-27,2023-05-08
242,Manufacturing,MFG,2023-02-18,2023-06-27
243,Dispatch,DIS,2023-06-28,2023-09-10
244,MAIN COLUMNS RIGHT 1ST PASS (PGMA-35121),SUP,2022-10-27,2023-09-25
245,Engineering,ENG,2022-10-27,2023-05-08
246,Manufacturing,MFG,2023-02-18,2023-06-27
247,Dispatch,DIS,2023-06-28,2023-09-25
248,MAIN COLUMNS RIGHT 2ND PASS (PGMA-35122),SUP,2022-10-27,2023-09-25
249,Engineering,ENG,2022-10-27,2023-05-08
250,Manufacturing,MFG,2023-02-18,2023-06-27
251,Dispatch,DIS,2023-06-28,2023-09-25
252,MAIN COLUMNS MIDDLE (PGMA-35130),SUP,2022-10-27,2023-09-25
253,Engineering,ENG,2022-10-27,2023-05-08
254,Manufacturing,MFG,2023-02-18,2023-06-27
255,Dispatch,DIS,2023-06-28,2023-09-25
256,AUXILIARY COLUMNS-LEFT SIDE (PGMA-35140),SUP,2022-10-27,2023-09-25
257,Engineering,ENG,2022-10-27,2023-05-08
258,Manufacturing,MFG,2023-02-18,2023-06-27
259,Dispatch,DIS,2023-06-28,2023-09-25
260,AUXILIARY COLUMNS-RIGHT SIDE (PGMA-35150),SUP,2022-10-27,2023-09-25
261,Engineering,ENG,2022-10-27,2023-05-08
262,Manufacturing,MFG,2023-02-18,2023-06-27
263,Dispatch,DIS,2023-06-28,2023-09-25
264,GIRDER PIN CONNECTIONS (PGMA-35190),SUP,2022-10-27,2023-10-26
265,Engineering,ENG,2022-10-27,2023-05-23
266,Manufacturing,MFG,2023-03-05,2023-08-27
267,Dispatch,DIS,2023-08-28,2023-10-26
268,CEILING STRUCTURE-MAIN GIRDERS 1ST PASS (PGMA-35211),SUP,2022-10-27,2023-12-19
269,Engineering,ENG,2022-10-27,2023-05-23
270,Manufacturing,MFG,2023-03-05,2023-09-20
271,Dispatch,DIS,2023-09-21,2023-12-19
272,CEILING STRUCTURE-MAIN GIRDERS 2ND PASS (PGMA-35212),SUP,2022-10-27,2023-12-19
273,Engineering,ENG,2022-10-27,2023-05-23
274,Manufacturing,MFG,2023-03-05,2023-09-20
275,Dispatch,DIS,2023-09-21,2023-12-19
276,CEIL STRUCT-CROSS WELDED BEAMS 1ST PASS (PGMA-35213),SUP,2022-10-27,2023-12-21
277,Engineering,ENG,2022-10-27,2023-05-23
278,Manufacturing,MFG,2023-03-07,2023-09-22
279,Dispatch,DIS,2023-09-23,2023-12-21
280,CEIL STRUCT-CROSS WELDED BEAMS 2ND PASS (PGMA-35214),SUP,2022-10-27,2023-12-21
281,Engineering,ENG,2022-10-27,2023-05-23
282,Manufacturing,MFG,2023-03-07,2023-09-22
283,Dispatch,DIS,2023-09-23,2023-12-21
284,CEILING STRUCTURE ROLLED BEAM 1ST PASS (PGMA-35221),SUP,2022-09-27,2024-01-03
285,Engineering,ENG,2022-09-27,2023-06-05
286,Manufacturing,MFG,2023-03-20,2023-10-05
287,Dispatch,DIS,2023-10-06,2024-01-03
288,CEILING STRUCTURE ROLLED BEAM 2ND PASS (PGMA-35222),SUP,2022-09-27,2024-01-03
289,Engineering,ENG,2022-09-27,2023-06-05
290,Manufacturing,MFG,2023-03-20,2023-10-05
291,Dispatch,DIS,2023-10-06,2024-01-03
292,CEILING STRUCTURE HORBRACING 1ST PASS (PGMA-35231),SUP,2022-10-27,2024-02-02
293,Engineering,ENG,2022-10-27,2023-07-05
294,Manufacturing,MFG,2023-04-19,2023-11-04
295,Dispatch,DIS,2023-11-05,2024-02-02
296,CEILING STRUCTURE HORBRACING 2ND PASS (PGMA-35232),SUP,2022-10-27,2024-02-02
297,Engineering,ENG,2022-10-27,2023-07-05
298,Manufacturing,MFG,2023-04-19,2023-11-04
299,Dispatch,DIS,2023-11-05,2024-02-02
300,HORIZONTAL BRACING I PASS IMBL (PGMA-35311),SUP,2022-10-27,2024-01-31
301,Engineering,ENG,2022-10-27,2023-07-05
302,Manufacturing,MFG,2023-04-17,2023-11-02
303,Dispatch,DIS,2023-11-03,2024-01-31
304,HORIZ BRACING II PASS I MBL (PGMA-35312),SUP,2022-10-27,2024-01-31
305,Engineering,ENG,2022-10-27,2023-07-05
306,Manufacturing,MFG,2023-04-17,2023-11-02
307,Dispatch,DIS,2023-11-03,2024-01-31
308,HORIZ BRACING I PASS II MBL (PGMA-35321),SUP,2022-10-27,2024-01-31
309,Engineering,ENG,2022-10-27,2023-07-05
310,Manufacturing,MFG,2023-04-17,2023-11-02
311,Dispatch,DIS,2023-11-03,2024-01-31
312,HORIZ BRACING II PASS II MBL (PGMA-35322),SUP,2022-10-27,2024-01-31
313,Engineering,ENG,2022-10-27,2023-07-05
314,Manufacturing,MFG,2023-04-17,2023-11-02
315,Dispatch,DIS,2023-11-03,2024-01-31
316,HORIZ BRACING I PASS III MBL (PGMA-35331),SUP,2022-10-27,2024-01-31
317,Engineering,ENG,2022-10-27,2023-07-05
318,Manufacturing,MFG,2023-04-17,2023-11-02
319,Dispatch,DIS,2023-11-03,2024-01-31
320,HORIZ BRACING II PASS III MBL (PGMA-35332),SUP,2022-10-27,2024-01-31
321,Engineering,ENG,2022-10-27,2023-07-05
322,Manufacturing,MFG,2023-04-17,2023-11-02
323,Dispatch,DIS,2023-11-03,2024-01-31
324,HORIZ BRACING I PASS IV MBL (PGMA-35341),SUP,2022-10-27,2024-01-31
325,Engineering,ENG,2022-10-27,2023-07-05
326,Manufacturing,MFG,2023-04-17,2023-11-02
327,Dispatch,DIS,2023-11-03,2024-01-31
328,HORIZ BRACING II PASS IV MBL (PGMA-35342),SUP,2022-10-27,2024-01-31
329,Engineering,ENG,2022-10-27,2023-07-05
330,Manufacturing,MFG,2023-04-17,2023-11-02
331,Dispatch,DIS,2023-11-03,2024-01-31
332,HORIZ BRACING I PASS V MBL (PGMA-35351),SUP,2022-10-27,2024-02-02
333,Engineering,ENG,2022-10-27,2023-07-05
334,Manufacturing,MFG,2023-04-19,2023-11-04
335,Dispatch,DIS,2023-11-05,2024-02-02
336,HORIZ BRACING II PASS V MBL (PGMA-35352),SUP,2022-10-27,2024-02-02
337,Engineering,ENG,2022-10-27,2023-07-05
338,Manufacturing,MFG,2023-04-19,2023-11-04
339,Dispatch,DIS,2023-11-05,2024-02-02
340,HORIZ BRACING I PASS VI MBL (PGMA-35361),SUP,2022-10-27,2024-02-02
341,Engineering,ENG,2022-10-27,2023-07-05
342,Manufacturing,MFG,2023-04-19,2023-11-04
343,Dispatch,DIS,2023-11-05,2024-02-02
344,HORIZ BRACING II PASS VI MBL (PGMA-35362),SUP,2022-10-27,2024-02-02
345,Engineering,ENG,2022-10-27,2023-07-05
346,Manufacturing,MFG,2023-04-19,2023-11-04
347,Dispatch,DIS,2023-11-05,2024-02-02
348,LAND & CONN PLAT TIER-1 (PGMA-35381),SUP,2022-10-27,2024-01-31
349,Engineering,ENG,2022-10-27,2023-07-05
350,Manufacturing,MFG,2023-04-17,2023-11-02
351,Dispatch,DIS,2023-11-03,2024-01-31
352,LAND & CONN PLAT TIER-2 (PGMA-35382),SUP,2022-10-27,2024-01-31
353,Engineering,ENG,2022-10-27,2023-07-05
354,Manufacturing,MFG,2023-04-17,2023-11-02
355,Dispatch,DIS,2023-11-03,2024-01-31
356,LAND & CONN PLAT TIER-3 (PGMA-35383),SUP,2022-10-27,2024-01-31
357,Engineering,ENG,2022-10-27,2023-07-05
358,Manufacturing,MFG,2023-04-17,2023-11-02
359,Dispatch,DIS,2023-11-03,2024-01-31
360,HORIL BEAMS FIRST PASS-TIER-1 (PGMA-35441),SUP,2022-10-27,2024-01-31
361,Engineering,ENG,2022-10-27,2023-07-05
362,Manufacturing,MFG,2023-04-17,2023-11-02
363,Dispatch,DIS,2023-11-03,2024-01-31
364,HORIL BEAMS FIRST PASS-TIER-2 (PGMA-35442),SUP,2022-10-27,2024-01-31
365,Engineering,ENG,2022-10-27,2023-07-05
366,Manufacturing,MFG,2023-04-17,2023-11-02
367,Dispatch,DIS,2023-11-03,2024-01-31
368,HORIL BEAMS FIRST PASS-TIER-3 (PGMA-35443),SUP,2022-10-27,2024-01-31
369,Engineering,ENG,2022-10-27,2023-07-05
370,Manufacturing,MFG,2023-04-17,2023-11-02
371,Dispatch,DIS,2023-11-03,2024-01-31
372,HOR BEAM-SECOND PASS- TIER-1 (PGMA-35451),SUP,2022-10-27,2024-01-31
373,Engineering,ENG,2022-10-27,2023-07-05
374,Manufacturing,MFG,2023-04-17,2023-11-02
375,Dispatch,DIS,2023-11-03,2024-01-31
376,HOR BEAM-SECOND PASS- TIER-2 (PGMA-35452),SUP,2022-10-27,2024-01-31
377,Engineering,ENG,2022-10-27,2023-07-05
378,Manufacturing,MFG,2023-04-17,2023-11-02
379,Dispatch,DIS,2023-11-03,2024-01-31
380,HOR BEAM-SECOND PASS- TIER-3 (PGMA-35453),SUP,2022-10-27,2024-01-31
381,Engineering,ENG,2022-10-27,2023-07-05
382,Manufacturing,MFG,2023-04-17,2023-11-02
383,Dispatch,DIS,2023-11-03,2024-01-31
384,FRONT BRACING-TIER-1 (PGMA-35511),SUP,2022-10-27,2024-01-31
385,Engineering,ENG,2022-10-27,2023-07-05
386,Manufacturing,MFG,2023-04-17,2023-11-02
387,Dispatch,DIS,2023-11-03,2024-01-31
388,FRONT BRACING-TIER-2 (PGMA-35512),SUP,2022-10-27,2024-01-31
389,Engineering,ENG,2022-10-27,2023-07-05
390,Manufacturing,MFG,2023-04-17,2023-11-02
391,Dispatch,DIS,2023-11-03,2024-01-31
392,FRONT BRACING-TIER-3 (PGMA-35513),SUP,2022-10-27,2024-01-31
